LINESTRING (1.724721 42.541449, 1.724754 42.541393) 
LINESTRING (1.724754 42.541393, 1.724788 42.541327) 
LINESTRING (1.724788 42.541327, 1.724808 42.541269) 
LINESTRING (1.724808 42.541269, 1.724820 42.541196) 
LINESTRING (1.724820 42.541196, 1.724824 42.541104) 
LINESTRING (1.724824 42.541104, 1.724816 42.541006) 
LINESTRING (1.724816 42.541006, 1.724794 42.540920) 
LINESTRING (1.724794 42.540920, 1.724761 42.540824) 
LINESTRING (1.724761 42.540824, 1.724669 42.540700) 
LINESTRING (1.724669 42.540700, 1.724503 42.540538) 
LINESTRING (1.724503 42.540538, 1.724236 42.540307) 
LINESTRING (1.724236 42.540307, 1.721477 42.538065) 
LINESTRING (1.721477 42.538065, 1.721301 42.537926) 
LINESTRING (1.721301 42.537926, 1.721109 42.537801) 
LINESTRING (1.721109 42.537801, 1.721084 42.537785) 
LINESTRING (1.721084 42.537785, 1.720911 42.537690) 
LINESTRING (1.720911 42.537690, 1.720775 42.537629) 
LINESTRING (1.720775 42.537629, 1.720645 42.537579) 
LINESTRING (1.720645 42.537579, 1.720571 42.537559) 
LINESTRING (1.720571 42.537559, 1.720487 42.537535) 
LINESTRING (1.720487 42.537535, 1.720360 42.537519) 
LINESTRING (1.720360 42.537519, 1.720254 42.537512) 
LINESTRING (1.720254 42.537512, 1.720150 42.537508) 
LINESTRING (1.720150 42.537508, 1.720054 42.537506) 
LINESTRING (1.720054 42.537506, 1.719919 42.537516) 
LINESTRING (1.719919 42.537516, 1.719819 42.537535) 
LINESTRING (1.719819 42.537535, 1.719730 42.537557) 
LINESTRING (1.719730 42.537557, 1.719658 42.537578) 
LINESTRING (1.719658 42.537578, 1.719564 42.537615) 
LINESTRING (1.719564 42.537615, 1.719486 42.537657) 
LINESTRING (1.719486 42.537657, 1.719368 42.537732) 
LINESTRING (1.719368 42.537732, 1.719265 42.537827) 
LINESTRING (1.719265 42.537827, 1.719188 42.537932) 
LINESTRING (1.719188 42.537932, 1.719134 42.538045) 
LINESTRING (1.719134 42.538045, 1.719105 42.538150) 
LINESTRING (1.719105 42.538150, 1.719113 42.538294) 
LINESTRING (1.719113 42.538294, 1.719134 42.538396) 
LINESTRING (1.719134 42.538396, 1.719176 42.538512) 
LINESTRING (1.719176 42.538512, 1.719223 42.538599) 
LINESTRING (1.719223 42.538599, 1.719287 42.538680) 
LINESTRING (1.719287 42.538680, 1.719357 42.538748) 
LINESTRING (1.719357 42.538748, 1.719953 42.539191) 
LINESTRING (1.719953 42.539191, 1.720364 42.539473) 
LINESTRING (1.720364 42.539473, 1.720551 42.539588) 
LINESTRING (1.720551 42.539588, 1.720785 42.539725) 
LINESTRING (1.720785 42.539725, 1.720905 42.539774) 
LINESTRING (1.720905 42.539774, 1.720943 42.539789) 
LINESTRING (1.720943 42.539789, 1.721166 42.539857) 
LINESTRING (1.721166 42.539857, 1.721239 42.539892) 
LINESTRING (1.721239 42.539892, 1.721278 42.539930) 
LINESTRING (1.721278 42.539930, 1.721294 42.539975) 
LINESTRING (1.721294 42.539975, 1.721292 42.540015) 
LINESTRING (1.721292 42.540015, 1.721280 42.540048) 
LINESTRING (1.721280 42.540048, 1.721255 42.540082) 
LINESTRING (1.721255 42.540082, 1.721218 42.540103) 
LINESTRING (1.721218 42.540103, 1.721182 42.540116) 
LINESTRING (1.721182 42.540116, 1.721142 42.540119) 
LINESTRING (1.721142 42.540119, 1.721107 42.540119) 
LINESTRING (1.721107 42.540119, 1.721060 42.540106) 
LINESTRING (1.721060 42.540106, 1.720986 42.540085) 
LINESTRING (1.720986 42.540085, 1.720879 42.540050) 
LINESTRING (1.720879 42.540050, 1.720773 42.540020) 
LINESTRING (1.720773 42.540020, 1.720636 42.539987) 
LINESTRING (1.720636 42.539987, 1.720518 42.539966) 
LINESTRING (1.720518 42.539966, 1.720327 42.539949) 
LINESTRING (1.720327 42.539949, 1.720135 42.539951) 
LINESTRING (1.720135 42.539951, 1.719968 42.539972) 
LINESTRING (1.719968 42.539972, 1.719791 42.540004) 
LINESTRING (1.719791 42.540004, 1.719660 42.540038) 
LINESTRING (1.719660 42.540038, 1.719561 42.540079) 
LINESTRING (1.719561 42.540079, 1.719381 42.540176) 
LINESTRING (1.719381 42.540176, 1.719267 42.540270) 
LINESTRING (1.719267 42.540270, 1.719045 42.540552) 
LINESTRING (1.719045 42.540552, 1.718854 42.540818) 
LINESTRING (1.718854 42.540818, 1.718598 42.541173) 
LINESTRING (1.718598 42.541173, 1.718457 42.541335) 
LINESTRING (1.718457 42.541335, 1.718343 42.541433) 
LINESTRING (1.718343 42.541433, 1.718191 42.541536) 
LINESTRING (1.718191 42.541536, 1.717996 42.541638) 
LINESTRING (1.717996 42.541638, 1.717864 42.541702) 
LINESTRING (1.717864 42.541702, 1.718008 42.541273) 
LINESTRING (1.718008 42.541273, 1.718070 42.540933) 
LINESTRING (1.718070 42.540933, 1.718015 42.540733) 
LINESTRING (1.718015 42.540733, 1.717854 42.540533) 
LINESTRING (1.717854 42.540533, 1.717663 42.540442) 
LINESTRING (1.717663 42.540442, 1.717405 42.540356) 
